location,month,inc,epi_m3,pre,m3
PE,2022-09-01,1.81323562499413,FALSE,4.459154341966,1.78375211889666
AL,2022-09-01,12.3829935102875,TRUE,3.76074198701667,12.8629544990583
SE,2022-09-01,4.06895890713189,TRUE,2.59656716970158,4.18952065252839
BA,2022-09-01,1.27566482432015,FALSE,3.10749828945093,1.3234169835193
MG,2022-09-01,1.54910526141296,FALSE,6.58714219564422,1.44132742910282
RJ,2022-09-01,0.559717459441248,FALSE,1.56693347501293,0.505551253688869
SP,2022-09-01,1.51874189420401,FALSE,6.85951251144783,1.48397813124654
PR,2022-09-01,1.08150317788725,FALSE,8.42804452315355,1.0082764002178
SC,2022-09-01,0.70856620469009,FALSE,1.74273086633731,0.695683182786632
RS,2022-09-01,0.0541259977451109,FALSE,0.381665310847904,0.117272995114408
MS,2022-09-01,6.38731401800164,FALSE,12.463745200619,6.36378799951913
MT,2022-09-01,2.64253922651291,FALSE,7.31871328003893,2.65134769060129
GO,2022-09-01,13.2322632238401,FALSE,19.2490133607959,13.256260799509
DF,2022-09-01,14.4353997049295,TRUE,8.00808098899717,14.4924115521054
RO,2022-09-01,6.55786792577731,TRUE,4.84033150734982,5.36177880723931
AC,2022-09-01,1.80770806719853,FALSE,19.9076178812364,2.08890709987386
AM,2022-09-01,3.54227528438145,FALSE,3.30415117366066,4.28446629634709
RR,2022-09-01,0.787643449563252,FALSE,4.58785549077711,0.315057379825301
PA,2022-09-01,0.379013905309535,FALSE,1.4848882295236,0.434286766500508
AP,2022-09-01,0.645771231666555,FALSE,3.11327342968705,0.774925477999866
TO,2022-09-01,3.85026629956587,FALSE,10.0215445339353,4.01858395200591
MA,2022-09-01,1.11754762995351,TRUE,0.638578848994235,0.965600364477376
PI,2022-09-01,0.767523325033848,FALSE,1.58424786433578,0.777756969367632
CE,2022-09-01,3.55846758062587,FALSE,5.24104670577372,3.87925186986468
RN,2022-09-01,8.62603069716791,TRUE,5.37118743007576,8.40407435174371
PB,2022-09-01,4.96159600651061,TRUE,3.52823651584221,4.98640398654316
PE,2022-09-01,1.45943355182454,FALSE,4.459154341966,1.64002002667152
AL,2022-09-01,12.2870013125333,TRUE,3.76074198701667,10.8257867467199
SE,2022-09-01,4.0237482526082,TRUE,2.59656716970158,3.9031865072117
BA,2022-09-01,1.36434740569,FALSE,3.10749828945093,1.31886915883366
MG,2022-09-01,1.4236325611116,FALSE,6.58714219564422,1.44132742910282
RJ,2022-09-01,0.45740351524231,FALSE,1.56693347501293,0.523606655606329
SP,2022-09-01,1.38837778311353,FALSE,6.85951251144783,1.38765353805192
PR,2022-09-01,0.794228896260948,FALSE,8.42804452315355,0.898436233713626
SC,2022-09-01,0.669917138979721,FALSE,1.74273086633731,0.661328457710749
RS,2022-09-01,0.135314994362777,FALSE,0.381665310847904,0.102237995740766
MS,2022-09-01,6.77549332296306,FALSE,12.463745200619,7.0578055447532
MT,2022-09-01,2.37828530386162,FALSE,7.31871328003893,2.45756148065701
GO,2022-09-01,13.189067587636,FALSE,19.2490133607959,12.925094255278
DF,2022-09-01,14.3327783800129,TRUE,8.00808098899717,15.1537489793454
RO,2022-09-01,5.19680099778579,TRUE,4.84033150734982,5.52675661669283
AC,2022-09-01,2.28976355178481,FALSE,19.9076178812364,1.9683932287273
AM,2022-09-01,5.94596208449744,FALSE,3.30415117366066,5.17003511744245
RR,2022-09-01,0.15752868991265,FALSE,4.58785549077711,0.315057379825301
PA,2022-09-01,0.450079012555072,FALSE,1.4848882295236,0.434286766500508
AP,2022-09-01,0.387462738999933,FALSE,3.11327342968705,0.559668400777681
TO,2022-09-01,4.22898101755595,FALSE,10.0215445339353,3.74506776679084
MA,2022-09-01,0.838160722465134,TRUE,0.638578848994235,1.08813848179684
PI,2022-09-01,0.644719593028432,FALSE,1.58424786433578,0.747056036366278
CE,2022-09-01,3.42418578513055,FALSE,5.24104670577372,3.26752369038602
RN,2022-09-01,6.44682294209391,TRUE,5.37118743007576,7.01180273044643
PB,2022-09-01,4.16774064546891,TRUE,3.52823651584221,4.30831919898671
PE,2022-09-01,1.64739090319588,FALSE,4.459154341966,1.62896371188497
AL,2022-09-01,7.80736541733888,TRUE,3.76074198701667,9.2685799831523
SE,2022-09-01,3.61685236189501,TRUE,2.59656716970158,3.82783541633889
BA,2022-09-01,1.31659524649085,FALSE,3.10749828945093,1.47804302283083
MG,2022-09-01,1.35124446478389,FALSE,6.58714219564422,1.43971880473998
RJ,2022-09-01,0.553698992135428,FALSE,1.56693347501293,0.521600499837722
SP,2022-09-01,1.25584093683822,FALSE,6.85951251144783,1.3919990084216
PR,2022-09-01,0.81957662699268,FALSE,8.42804452315355,0.819576626992681
SC,2022-09-01,0.605502029462441,FALSE,1.74273086633731,0.51102653550376
RS,2022-09-01,0.117272995114407,FALSE,0.381665310847904,0.120279994989136
MS,2022-09-01,8.01060929329487,FALSE,12.463745200619,7.68124503453973
MT,2022-09-01,2.35185991159649,FALSE,7.31871328003893,2.38709376795
GO,2022-09-01,12.3539519543578,FALSE,19.2490133607959,12.7427126801942
DF,2022-09-01,16.6930688530938,TRUE,8.00808098899717,15.2335655653916
RO,2022-10-01,4.82560092651538,TRUE,4.84033150734982,5.42364548578438
AC,2022-10-01,1.80770806719853,FALSE,19.9076178812364,2.61113387484233
AM,2022-10-01,6.02186798344847,TRUE,3.30415117366066,5.95439607326977
RR,2022-10-01,0,FALSE,4.58785549077711,0.105019126608433
PA,2022-10-01,0.473767381636918,FALSE,1.4848882295236,0.497455750718764
AP,2022-10-01,0.645771231666555,FALSE,3.11327342968705,0.559668400777681
TO,2022-10-01,3.15595598325071,FALSE,10.0215445339353,3.40843246191077
MA,2022-10-01,1.30870709297188,TRUE,0.638578848994235,0.995009512634048
PI,2022-10-01,0.828925191036556,FALSE,1.58424786433578,0.736822392032493
CE,2022-10-01,2.81991770540163,FALSE,5.24104670577372,2.80499750590215
RN,2022-10-01,5.96255455207747,FALSE,5.37118743007576,5.7809539058213
PB,2022-10-01,3.79562094498061,FALSE,3.52823651584221,4.07677805201622
