SE_SIN_PRI,casos_dengue,casos_chik,UF,casos_arbo,casos_srag,casos_covid,casos_influenza,casos_outros_srag,casos_na_srag
2010-05-30,48,0,RO,48,,,,,
2010-05-30,208,0,AC,208,,,,,
2010-05-30,148,0,AM,148,,,,,
2010-05-30,583,0,RR,583,,,,,
2010-05-30,241,0,PA,241,,,,,
2010-05-30,76,0,AP,76,,,,,
2010-05-30,159,0,TO,159,,,,,
2010-05-30,89,0,MA,89,,,,,
2010-05-30,261,0,PI,261,,,,,
2010-05-30,472,0,CE,472,,,,,
2010-05-30,182,0,RN,182,,,,,
2010-05-30,268,0,PB,268,,,,,
2010-05-30,2139,0,PE,2139,,,,,
2010-05-30,1842,0,AL,1842,,,,,
2010-05-30,21,0,SE,21,,,,,
2010-05-30,1760,0,BA,1760,,,,,
2010-05-30,3137,0,MG,3137,,,,,
2010-05-30,945,0,ES,945,,,,,
2010-05-30,1092,0,RJ,1092,,,,,
2010-05-30,2115,0,SP,2115,,,,,
2010-05-30,246,0,PR,246,,,,,
2010-05-30,1,0,SC,1,,,,,
2010-05-30,2,0,RS,2,,,,,
2010-05-30,195,0,MS,195,,,,,
2010-05-30,159,0,MT,159,,,,,
2010-05-30,860,0,GO,860,,,,,
2010-05-30,406,0,DF,406,,,,,
2010-06-06,41,0,RO,41,,,,,
2010-06-06,276,0,AC,276,,,,,
2010-06-06,173,0,AM,173,,,,,
2010-06-06,525,0,RR,525,,,,,
2010-06-06,263,0,PA,263,,,,,
2010-06-06,65,0,AP,65,,,,,
2010-06-06,139,0,TO,139,,,,,
2010-06-06,118,0,MA,118,,,,,
2010-06-06,234,0,PI,234,,,,,
2010-06-06,500,0,CE,500,,,,,
2010-06-06,230,0,RN,230,,,,,
2010-06-06,251,0,PB,251,,,,,
2010-06-06,2036,0,PE,2036,,,,,
2010-06-06,1763,0,AL,1763,,,,,
2010-06-06,20,0,SE,20,,,,,
2010-06-06,1509,0,BA,1509,,,,,
2010-06-06,1893,0,MG,1893,,,,,
2010-06-06,874,0,ES,874,,,,,
2010-06-06,862,0,RJ,862,,,,,
2010-06-06,1478,0,SP,1478,,,,,
2010-06-06,234,0,PR,234,,,,,
2010-06-06,0,0,SC,0,,,,,
2010-06-06,7,0,RS,7,,,,,
2010-06-06,178,0,MS,178,,,,,
2010-06-06,152,0,MT,152,,,,,
2010-06-06,716,0,GO,716,,,,,
2010-06-06,217,0,DF,217,,,,,
2010-06-13,52,0,RO,52,,,,,
2010-06-13,184,0,AC,184,,,,,
2010-06-13,185,0,AM,185,,,,,
2010-06-13,410,0,RR,410,,,,,
2010-06-13,256,0,PA,256,,,,,
2010-06-13,61,0,AP,61,,,,,
2010-06-13,113,0,TO,113,,,,,
2010-06-13,141,0,MA,141,,,,,
2010-06-13,208,0,PI,208,,,,,
2010-06-13,530,0,CE,530,,,,,
2010-06-13,240,0,RN,240,,,,,
2010-06-13,200,0,PB,200,,,,,
2010-06-13,1510,0,PE,1510,,,,,
2010-06-13,1647,0,AL,1647,,,,,
2010-06-13,16,0,SE,16,,,,,
2010-06-13,1071,0,BA,1071,,,,,
2010-06-13,1198,0,MG,1198,,,,,
2010-06-13,714,0,ES,714,,,,,
2010-06-13,679,0,RJ,679,,,,,
2010-06-13,896,0,SP,896,,,,,
2010-06-13,198,0,PR,198,,,,,
2010-06-13,2,0,SC,2,,,,,
2010-06-13,4,0,RS,4,,,,,
2010-06-13,150,0,MS,150,,,,,
2010-06-13,107,0,MT,107,,,,,
2010-06-13,550,0,GO,550,,,,,
2010-06-13,187,0,DF,187,,,,,
2010-06-20,33,0,RO,33,,,,,
2010-06-20,185,0,AC,185,,,,,
2010-06-20,117,0,AM,117,,,,,
2010-06-20,370,0,RR,370,,,,,
2010-06-20,196,0,PA,196,,,,,
2010-06-20,44,0,AP,44,,,,,
2010-06-20,79,0,TO,79,,,,,
2010-06-20,99,0,MA,99,,,,,
2010-06-20,218,0,PI,218,,,,,
2010-06-20,361,0,CE,361,,,,,
2010-06-20,274,0,RN,274,,,,,
2010-06-20,188,0,PB,188,,,,,
2010-06-20,1426,0,PE,1426,,,,,
2010-06-20,1383,0,AL,1383,,,,,
2010-06-20,18,0,SE,18,,,,,
2010-06-20,869,0,BA,869,,,,,
2010-06-20,841,0,MG,841,,,,,
2010-06-20,605,0,ES,605,,,,,
2010-06-20,593,0,RJ,593,,,,,
2010-06-20,626,0,SP,626,,,,,
2010-06-20,154,0,PR,154,,,,,
2010-06-20,2,0,SC,2,,,,,
2010-06-20,2,0,RS,2,,,,,
2010-06-20,129,0,MS,129,,,,,
2010-06-20,95,0,MT,95,,,,,
2010-06-20,440,0,GO,440,,,,,
2010-06-20,119,0,DF,119,,,,,
2010-06-27,43,0,RO,43,,,,,
2010-06-27,194,0,AC,194,,,,,
2010-06-27,128,0,AM,128,,,,,
2010-06-27,359,0,RR,359,,,,,
2010-06-27,215,0,PA,215,,,,,
2010-06-27,47,0,AP,47,,,,,
2010-06-27,48,0,TO,48,,,,,
2010-06-27,96,0,MA,96,,,,,
2010-06-27,228,0,PI,228,,,,,
2010-06-27,384,0,CE,384,,,,,
2010-06-27,293,0,RN,293,,,,,
2010-06-27,281,0,PB,281,,,,,
2010-06-27,1655,0,PE,1655,,,,,
2010-06-27,1531,0,AL,1531,,,,,
2010-06-27,8,0,SE,8,,,,,
2010-06-27,871,0,BA,871,,,,,
2010-06-27,638,0,MG,638,,,,,
2010-06-27,496,0,ES,496,,,,,
2010-06-27,573,0,RJ,573,,,,,
2010-06-27,487,0,SP,487,,,,,
2010-06-27,122,0,PR,122,,,,,
2010-06-27,3,0,SC,3,,,,,
2010-06-27,3,0,RS,3,,,,,
2010-06-27,151,0,MS,151,,,,,
2010-06-27,105,0,MT,105,,,,,
2010-06-27,327,0,GO,327,,,,,
2010-06-27,96,0,DF,96,,,,,
2010-07-04,22,0,RO,22,,,,,
2010-07-04,211,0,AC,211,,,,,
2010-07-04,162,0,AM,162,,,,,
2010-07-04,209,0,RR,209,,,,,
2010-07-04,194,0,PA,194,,,,,
2010-07-04,66,0,AP,66,,,,,
2010-07-04,45,0,TO,45,,,,,
2010-07-04,126,0,MA,126,,,,,
2010-07-04,206,0,PI,206,,,,,
2010-07-04,403,0,CE,403,,,,,
2010-07-04,306,0,RN,306,,,,,
2010-07-04,249,0,PB,249,,,,,
2010-07-04,1556,0,PE,1556,,,,,
2010-07-04,1253,0,AL,1253,,,,,
2010-07-04,14,0,SE,14,,,,,
2010-07-04,830,0,BA,830,,,,,
2010-07-04,499,0,MG,499,,,,,
2010-07-04,473,0,ES,473,,,,,
2010-07-04,561,0,RJ,561,,,,,
2010-07-04,309,0,SP,309,,,,,
2010-07-04,90,0,PR,90,,,,,
2010-07-04,1,0,SC,1,,,,,
2010-07-04,6,0,RS,6,,,,,
2010-07-04,109,0,MS,109,,,,,
2010-07-04,103,0,MT,103,,,,,
2010-07-04,322,0,GO,322,,,,,
2010-07-04,63,0,DF,63,,,,,
2010-07-11,13,0,RO,13,,,,,
2010-07-11,159,0,AC,159,,,,,
2010-07-11,242,0,AM,242,,,,,
2010-07-11,231,0,RR,231,,,,,
2010-07-11,164,0,PA,164,,,,,
2010-07-11,56,0,AP,56,,,,,
2010-07-11,30,0,TO,30,,,,,
2010-07-11,145,0,MA,145,,,,,
2010-07-11,204,0,PI,204,,,,,
2010-07-11,396,0,CE,396,,,,,
2010-07-11,357,0,RN,357,,,,,
2010-07-11,226,0,PB,226,,,,,
2010-07-11,1383,0,PE,1383,,,,,
2010-07-11,1186,0,AL,1186,,,,,
2010-07-11,21,0,SE,21,,,,,
2010-07-11,671,0,BA,671,,,,,
2010-07-11,387,0,MG,387,,,,,
2010-07-11,426,0,ES,426,,,,,
2010-07-11,443,0,RJ,443,,,,,
2010-07-11,315,0,SP,315,,,,,
2010-07-11,46,0,PR,46,,,,,
2010-07-11,0,0,SC,0,,,,,
2010-07-11,3,0,RS,3,,,,,
2010-07-11,50,0,MS,50,,,,,
2010-07-11,62,0,MT,62,,,,,
2010-07-11,256,0,GO,256,,,,,
2010-07-11,63,0,DF,63,,,,,
2010-07-18,22,0,RO,22,,,,,
2010-07-18,197,0,AC,197,,,,,
2010-07-18,170,0,AM,170,,,,,
2010-07-18,174,0,RR,174,,,,,
2010-07-18,218,0,PA,218,,,,,
2010-07-18,65,0,AP,65,,,,,
2010-07-18,24,0,TO,24,,,,,
2010-07-18,168,0,MA,168,,,,,
2010-07-18,186,0,PI,186,,,,,
2010-07-18,417,0,CE,417,,,,,
2010-07-18,304,0,RN,304,,,,,
2010-07-18,242,0,PB,242,,,,,
2010-07-18,1353,0,PE,1353,,,,,
2010-07-18,1016,0,AL,1016,,,,,
2010-07-18,15,0,SE,15,,,,,
2010-07-18,571,0,BA,571,,,,,
2010-07-18,302,0,MG,302,,,,,
2010-07-18,389,0,ES,389,,,,,
2010-07-18,342,0,RJ,342,,,,,
2010-07-18,234,0,SP,234,,,,,
2010-07-18,28,0,PR,28,,,,,
2010-07-18,0,0,SC,0,,,,,
2010-07-18,1,0,RS,1,,,,,
2010-07-18,41,0,MS,41,,,,,
2010-07-18,83,0,MT,83,,,,,
2010-07-18,235,0,GO,235,,,,,
2010-07-18,50,0,DF,50,,,,,
2010-07-25,25,0,RO,25,,,,,
2010-07-25,165,0,AC,165,,,,,
2010-07-25,142,0,AM,142,,,,,
2010-07-25,156,0,RR,156,,,,,
2010-07-25,170,0,PA,170,,,,,
2010-07-25,82,0,AP,82,,,,,
2010-07-25,37,0,TO,37,,,,,
2010-07-25,196,0,MA,196,,,,,
2010-07-25,142,0,PI,142,,,,,
2010-07-25,357,0,CE,357,,,,,
2010-07-25,271,0,RN,271,,,,,
2010-07-25,193,0,PB,193,,,,,
2010-07-25,1129,0,PE,1129,,,,,
2010-07-25,945,0,AL,945,,,,,
2010-07-25,23,0,SE,23,,,,,
2010-07-25,439,0,BA,439,,,,,
2010-07-25,227,0,MG,227,,,,,
2010-07-25,350,0,ES,350,,,,,
2010-07-25,439,0,RJ,439,,,,,
2010-07-25,242,0,SP,242,,,,,
2010-07-25,28,0,PR,28,,,,,
2010-07-25,0,0,SC,0,,,,,
2010-07-25,0,0,RS,0,,,,,
2010-07-25,52,0,MS,52,,,,,
2010-07-25,77,0,MT,77,,,,,
2010-07-25,261,0,GO,261,,,,,
2010-07-25,36,0,DF,36,,,,,
2010-08-01,19,0,RO,19,,,,,
2010-08-01,114,0,AC,114,,,,,
2010-08-01,143,0,AM,143,,,,,
2010-08-01,214,0,RR,214,,,,,
