topicTitle,topicId,value,geo,keyword,time,sys_time
Bleeding,/m/012n6x,23,BR-AC,Dengue,2024-04,2024-11-13 10:30
Virus,/m/0g9pc,22,BR-AC,Dengue,2024-04,2024-11-13 10:30
Yellow fever,/m/087z2,21,BR-AC,Dengue,2024-04,2024-11-13 10:30
Patient,/m/028hfb,16,BR-AC,Dengue,2024-04,2024-11-13 10:30
Influenza,/m/0cycc,9,BR-AC,Dengue,2024-04,2024-11-13 10:30
Zika fever,/m/02vkznh,8,BR-AC,Dengue,2024-04,2024-11-13 10:30
Mosquito,/m/09f96,100,BR-AC,Dengue,2024-05,2024-11-13 10:30
Symptom,/m/01b_06,86,BR-AC,Dengue,2024-05,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,82,BR-AC,Dengue,2024-05,2024-11-13 10:30
Virus,/m/0g9pc,29,BR-AC,Dengue,2024-05,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-06,2024-11-13 10:30
Mosquito,/m/09f96,69,BR-AC,Dengue,2024-06,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,52,BR-AC,Dengue,2024-06,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-07,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,46,BR-AC,Dengue,2024-07,2024-11-13 10:30
Mosquito,/m/09f96,100,BR-AC,Dengue,2024-08,2024-11-13 10:30
Yellow fever mosquito,/m/06y6_w,87,BR-AC,Dengue,2024-08,2024-11-13 10:30
Disease,/m/027x3,76,BR-AC,Dengue,2024-08,2024-11-13 10:30
Symptom,/m/01b_06,47,BR-AC,Dengue,2024-08,2024-11-13 10:30
Composition,/m/08fslw,29,BR-AC,Dengue,2024-08,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-09,2024-11-13 10:30
Bleeding,/m/012n6x,44,BR-AC,Dengue,2024-09,2024-11-13 10:30
Mosquito,/m/09f96,36,BR-AC,Dengue,2024-09,2024-11-13 10:30
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-10,2024-11-13 10:30
Mosquito,/m/09f96,56,BR-AC,Dengue,2024-10,2024-11-13 10:30
Disease,/m/027x3,56,BR-AC,Dengue,2024-10,2024-11-13 10:30
Medical sign,/m/02qbqx,54,BR-AC,Dengue,2024-10,2024-11-13 10:30
